Product Category,Total Amount,stock,Date
SKU097,1,97,23-01-2025
SKU013,5,88,21-03-2025
SKU060,3,98,23-01-2025
SKU041,3,41,23-03-2025
SKU093,4,89,11-01-2025
SKU061,2,90,01-02-2025
SKU044,1,74,11-01-2025
SKU038,9,40,22-02-2025
SKU030,4,40,18-02-2025
SKU038,2,41,31-03-2025
SKU085,2,91,20-02-2025
SKU003,6,95,06-03-2025
SKU093,4,68,01-01-2025
SKU044,1,37,01-02-2025
SKU058,4,21,14-01-2025
SKU070,5,84,19-03-2025
SKU003,5,49,15-03-2025
SKU080,4,76,25-01-2025
SKU074,6,35,04-01-2025
SKU041,4,59,29-03-2025
SKU088,8,54,02-01-2025
SKU007,3,60,09-02-2025
SKU043,7,44,29-01-2025
SKU038,2,66,04-01-2025
SKU039,5,88,22-03-2025
SKU005,7,53,03-03-2025
SKU063,5,39,12-02-2025
SKU078,6,53,22-03-2025
SKU007,5,40,18-01-2025
SKU040,5,86,27-01-2025
SKU075,7,40,06-03-2025
SKU071,7,61,28-01-2025
SKU064,8,76,27-03-2025
SKU038,7,44,06-02-2025
SKU028,5,85,08-01-2025
SKU027,2,71,21-03-2025
SKU011,4,83,21-03-2025
SKU072,8,83,25-02-2025
SKU098,3,22,05-01-2025
SKU092,2,44,27-02-2025
SKU009,5,53,26-02-2025
SKU076,5,38,07-01-2025
SKU028,5,89,10-03-2025
SKU017,6,94,12-02-2025
SKU070,4,45,18-02-2025
SKU003,10,44,05-03-2025
SKU054,4,87,29-01-2025
SKU080,6,86,22-01-2025
SKU062,8,83,06-03-2025
SKU021,3,52,27-02-2025
SKU066,6,83,05-02-2025
SKU002,2,66,24-03-2025
SKU072,4,46,12-03-2025
SKU021,3,26,06-01-2025
SKU057,9,21,18-03-2025
SKU093,5,50,26-02-2025
SKU081,2,59,28-03-2025
SKU011,6,86,20-02-2025
SKU069,4,60,04-01-2025
SKU026,3,97,31-03-2025
SKU031,3,84,02-03-2025
SKU052,6,69,09-03-2025
SKU079,9,44,25-03-2025
SKU020,3,86,28-02-2025
SKU091,3,61,11-02-2025
SKU034,4,85,04-02-2025
SKU097,7,96,09-03-2025
SKU089,5,68,26-02-2025
SKU050,4,29,17-03-2025
SKU018,5,64,16-03-2025
SKU003,4,96,20-02-2025
SKU079,1,93,02-03-2025
SKU049,3,52,04-03-2025
SKU061,7,98,08-03-2025
SKU087,2,93,03-03-2025
SKU010,9,22,21-03-2025
SKU023,6,30,26-01-2025
SKU072,1,36,28-03-2025
SKU003,8,58,03-01-2025
SKU051,7,89,07-03-2025
SKU079,6,93,22-01-2025
SKU099,4,47,18-01-2025
SKU099,4,52,15-03-2025
SKU012,7,20,03-02-2025
SKU007,8,52,30-01-2025
SKU069,5,82,05-03-2025
SKU036,6,62,17-02-2025
SKU054,9,40,25-03-2025
SKU056,4,62,07-02-2025
SKU096,4,50,26-02-2025
SKU011,3,28,18-02-2025
SKU036,2,34,02-02-2025
SKU009,3,67,20-01-2025
SKU038,9,43,02-02-2025
SKU045,12,72,04-03-2025
SKU045,7,85,24-02-2025
SKU034,3,33,31-01-2025
SKU035,10,52,23-03-2025
SKU006,6,85,06-01-2025
SKU016,6,63,27-03-2025
SKU027,4,76,28-02-2025
SKU011,4,98,10-03-2025
SKU024,7,43,02-02-2025
SKU077,8,74,28-03-2025
SKU024,4,47,22-01-2025
SKU049,2,84,29-03-2025
SKU024,9,62,25-03-2025
SKU068,4,50,18-03-2025
SKU095,2,75,16-02-2025
SKU040,8,94,01-02-2025
SKU023,5,65,06-02-2025
SKU075,8,34,28-02-2025
SKU094,5,57,15-02-2025
SKU085,0,26,20-03-2025
SKU074,5,56,10-02-2025
SKU041,9,40,06-02-2025
SKU029,7,58,08-02-2025
SKU013,9,45,09-01-2025
SKU061,6,96,22-01-2025
SKU027,13,54,09-03-2025
SKU086,4,79,16-01-2025
SKU020,2,30,14-02-2025
SKU025,5,37,23-01-2025
SKU032,4,28,07-02-2025
SKU058,4,67,06-01-2025
SKU031,6,92,06-02-2025
SKU078,5,49,19-03-2025
SKU056,3,92,04-01-2025
SKU093,1,20,31-01-2025
SKU037,6,75,09-02-2025
SKU081,9,83,14-03-2025
SKU011,6,87,15-02-2025
SKU095,3,23,01-03-2025
SKU076,2,37,22-01-2025
SKU052,5,65,03-02-2025
SKU032,7,94,08-01-2025
SKU036,7,79,13-03-2025
SKU020,2,93,14-01-2025
SKU097,6,33,10-03-2025
SKU073,3,76,19-01-2025
SKU082,5,73,13-03-2025
SKU039,4,91,20-03-2025
SKU023,7,92,17-03-2025
SKU008,6,56,03-03-2025
SKU076,6,59,01-01-2025
SKU095,4,70,10-03-2025
SKU067,4,92,24-02-2025
SKU003,3,97,07-03-2025
SKU043,8,85,03-02-2025
SKU009,6,92,07-03-2025
SKU079,5,25,18-02-2025
SKU084,5,61,18-01-2025
SKU012,4,42,18-03-2025
SKU026,3,36,03-01-2025
SKU069,5,40,16-01-2025
SKU064,5,25,19-01-2025
SKU025,6,35,07-01-2025
SKU084,4,96,18-03-2025
SKU040,9,56,03-02-2025
SKU062,6,55,13-03-2025
SKU035,5,88,04-03-2025
SKU053,6,97,12-01-2025
SKU085,2,60,23-02-2025
SKU087,4,24,04-01-2025
SKU061,6,66,19-03-2025
SKU033,1,22,09-02-2025
SKU058,8,64,03-03-2025
SKU032,4,26,26-01-2025
SKU077,8,91,27-01-2025
SKU031,5,26,15-02-2025
SKU017,2,66,22-03-2025
SKU005,13,52,10-03-2025
SKU080,4,74,22-02-2025
SKU085,7,92,04-03-2025
SKU035,2,83,06-02-2025
SKU008,5,34,08-03-2025
SKU080,8,87,18-02-2025
SKU077,2,99,20-02-2025
SKU062,6,24,16-01-2025
SKU094,5,38,08-01-2025
SKU088,8,58,25-01-2025
SKU086,6,28,06-02-2025
SKU068,6,85,17-01-2025
SKU022,5,39,28-02-2025
SKU047,2,51,29-03-2025
SKU008,4,74,25-03-2025
SKU072,4,73,18-03-2025
SKU070,9,92,09-02-2025
SKU068,5,58,06-01-2025
SKU045,3,71,12-02-2025
SKU058,3,46,27-03-2025
SKU064,3,75,08-03-2025
SKU057,5,41,30-01-2025
SKU078,9,32,13-01-2025
SKU092,5,35,02-01-2025
SKU078,4,93,20-03-2025
SKU079,8,57,01-03-2025
SKU052,3,77,02-01-2025
SKU049,5,35,07-03-2025
SKU016,3,26,23-03-2025
SKU054,1,26,20-01-2025
SKU072,3,22,01-02-2025
SKU039,2,45,21-02-2025
SKU080,7,90,26-03-2025
SKU083,4,78,27-03-2025
SKU046,7,73,08-03-2025
SKU086,7,82,10-02-2025
SKU075,7,79,06-02-2025
SKU079,4,56,11-01-2025
SKU091,7,78,09-03-2025
SKU024,7,70,15-02-2025
SKU085,4,48,14-03-2025
SKU088,4,29,18-03-2025
SKU091,5,36,13-02-2025
SKU091,6,70,06-01-2025
SKU010,4,62,06-01-2025
SKU088,5,81,12-01-2025
SKU011,3,43,03-03-2025
SKU069,6,34,24-02-2025
SKU055,3,44,05-02-2025
SKU033,4,57,23-01-2025
SKU085,2,60,23-03-2025
SKU067,4,75,07-01-2025
SKU008,4,92,06-02-2025
SKU084,5,87,12-01-2025
SKU061,4,91,18-03-2025
SKU095,4,76,21-02-2025
SKU017,9,34,08-03-2025
SKU071,9,92,24-01-2025
SKU005,7,52,08-01-2025
SKU094,3,39,18-01-2025
SKU042,9,42,13-03-2025
SKU008,8,99,19-03-2025
SKU051,7,71,23-01-2025
SKU019,1,28,03-02-2025
SKU090,4,39,14-03-2025
SKU017,4,47,09-02-2025
SKU082,9,53,27-01-2025
SKU019,6,69,07-03-2025
SKU069,2,26,08-01-2025
SKU030,3,25,13-02-2025
SKU075,3,37,19-03-2025
SKU074,2,53,24-02-2025
SKU005,7,55,28-03-2025
SKU049,4,46,09-03-2025
SKU032,3,92,06-03-2025
SKU055,5,81,18-01-2025
SKU057,2,54,28-01-2025
SKU091,9,56,22-02-2025
SKU046,4,78,23-01-2025
SKU022,10,96,13-03-2025
SKU074,1,93,12-02-2025
SKU055,5,98,01-01-2025
SKU055,4,50,12-01-2025
SKU063,3,53,12-01-2025
SKU030,4,76,14-03-2025
SKU085,7,32,10-02-2025
SKU083,3,77,25-03-2025
SKU029,3,61,26-02-2025
SKU037,0,44,21-01-2025
SKU047,5,70,20-03-2025
SKU078,6,79,11-01-2025
SKU020,6,77,04-01-2025
SKU088,9,37,18-02-2025
SKU069,6,65,01-01-2025
SKU019,5,63,24-03-2025
SKU040,6,34,30-01-2025
SKU056,5,21,30-01-2025
SKU006,8,59,25-01-2025
SKU020,3,53,19-01-2025
SKU068,6,44,21-03-2025
SKU092,2,78,28-02-2025
SKU057,3,82,14-02-2025
SKU071,6,24,18-02-2025
SKU089,7,30,09-01-2025
SKU020,4,83,19-03-2025
SKU074,4,28,29-01-2025
SKU030,5,69,24-01-2025
SKU024,2,69,09-03-2025
SKU005,7,41,18-03-2025
SKU081,12,83,10-02-2025
SKU009,11,90,23-03-2025
SKU083,3,78,21-01-2025
SKU068,3,32,31-01-2025
SKU013,5,51,02-03-2025
SKU016,5,55,18-01-2025
SKU069,4,90,27-01-2025
SKU030,4,61,19-02-2025
SKU021,8,46,22-01-2025
SKU094,5,63,13-01-2025
SKU008,7,64,17-02-2025
SKU099,3,22,18-02-2025
SKU077,4,23,24-03-2025
SKU012,4,89,16-03-2025
SKU072,6,65,30-01-2025
SKU049,5,53,08-02-2025
SKU011,9,68,14-01-2025
SKU055,5,81,18-02-2025
SKU095,3,73,11-01-2025
SKU033,0,29,13-03-2025
SKU030,3,98,03-01-2025
SKU021,6,78,08-01-2025
SKU076,6,33,15-03-2025
SKU004,6,47,28-02-2025
SKU023,5,61,13-01-2025
SKU013,6,36,04-01-2025
SKU086,3,91,05-03-2025
SKU100,8,64,23-01-2025
SKU049,5,51,17-02-2025
SKU012,6,91,14-01-2025
SKU067,3,47,14-01-2025
SKU070,4,75,27-02-2025
SKU066,5,31,21-01-2025
SKU052,7,48,09-02-2025
SKU018,6,97,15-03-2025
SKU023,5,63,03-03-2025
SKU009,7,67,21-02-2025
SKU037,3,41,28-03-2025
SKU032,5,78,26-02-2025
SKU056,2,67,02-01-2025
SKU097,4,97,12-03-2025
SKU023,9,97,31-03-2025
SKU029,7,22,30-03-2025
SKU072,7,58,07-02-2025
SKU019,9,52,17-01-2025
SKU096,3,25,21-01-2025
SKU025,3,84,27-01-2025
SKU077,4,60,03-02-2025
SKU079,8,64,03-02-2025
SKU059,6,95,20-03-2025
SKU042,5,30,13-02-2025
SKU098,6,59,10-02-2025
SKU012,2,49,16-01-2025
SKU048,5,66,22-03-2025
SKU048,5,77,08-02-2025
SKU001,6,46,10-01-2025
SKU011,5,55,29-03-2025
SKU008,6,77,04-02-2025
SKU005,4,69,15-01-2025
SKU064,6,85,12-02-2025
SKU051,6,58,13-03-2025
SKU004,7,44,18-02-2025
SKU056,5,41,01-02-2025
SKU050,3,94,09-02-2025
SKU004,4,21,27-01-2025
SKU075,6,30,01-01-2025
SKU057,6,85,26-01-2025
SKU027,7,57,04-02-2025
SKU062,3,60,06-02-2025
SKU039,5,61,01-01-2025
SKU043,5,40,28-02-2025
SKU099,4,52,27-02-2025
SKU049,4,77,24-03-2025
SKU096,5,71,01-03-2025
SKU065,6,48,06-02-2025
SKU087,5,28,10-03-2025
SKU071,6,23,15-01-2025
SKU091,4,48,11-03-2025
SKU077,4,52,29-01-2025
SKU038,5,78,10-02-2025
SKU064,1,32,10-01-2025
SKU026,6,42,23-02-2025
SKU031,5,93,05-03-2025
SKU027,4,42,02-03-2025
SKU057,3,75,22-01-2025
SKU059,4,28,11-03-2025
SKU046,4,54,25-01-2025
SKU051,11,71,01-01-2025
SKU072,3,31,20-03-2025
SKU013,3,59,08-01-2025
SKU082,2,39,11-01-2025
SKU002,5,95,19-01-2025
SKU024,5,42,03-03-2025
SKU039,2,81,08-03-2025
SKU062,2,69,18-01-2025
SKU048,1,29,05-03-2025
SKU062,2,22,27-02-2025
SKU020,4,63,15-02-2025
SKU006,5,26,01-03-2025
SKU057,8,42,16-01-2025
SKU020,2,69,08-02-2025
SKU018,1,32,13-01-2025
SKU036,6,57,26-02-2025
SKU003,8,28,28-02-2025
SKU086,8,71,07-02-2025
SKU051,6,23,14-03-2025
SKU013,4,38,18-03-2025
SKU003,5,81,01-01-2025
SKU029,9,89,12-02-2025
SKU069,6,90,28-03-2025
SKU084,2,98,08-02-2025
SKU005,2,97,24-01-2025
SKU092,3,78,04-01-2025
SKU087,5,52,22-02-2025
SKU046,1,40,16-03-2025
SKU049,7,76,14-02-2025
SKU041,5,21,04-01-2025
SKU071,5,85,23-03-2025
SKU019,3,98,25-03-2025
SKU004,4,67,08-03-2025
SKU035,8,26,12-03-2025
SKU014,4,87,24-03-2025
SKU035,3,77,23-01-2025
SKU009,5,84,12-01-2025
SKU006,4,59,24-01-2025
SKU064,6,42,20-02-2025
SKU028,6,72,05-02-2025
SKU080,5,44,31-03-2025
SKU022,10,70,07-01-2025
SKU042,2,29,04-01-2025
SKU095,5,76,03-01-2025
SKU042,2,55,20-01-2025
SKU065,6,73,09-02-2025
SKU088,5,26,13-01-2025
SKU018,4,29,20-02-2025
SKU084,3,41,03-03-2025
SKU010,10,44,01-01-2025
SKU086,9,28,19-03-2025
SKU004,5,54,12-03-2025
SKU045,8,60,11-03-2025
SKU053,3,30,03-03-2025
SKU099,5,67,01-01-2025
SKU079,5,50,02-01-2025
SKU086,6,86,22-03-2025
SKU054,4,42,11-03-2025
SKU052,6,73,12-02-2025
SKU096,8,59,29-03-2025
SKU065,5,53,10-02-2025
SKU056,2,76,21-02-2025
SKU012,1,22,15-02-2025
SKU070,3,38,05-01-2025
SKU082,5,89,28-01-2025
SKU069,4,22,14-01-2025
SKU048,4,80,24-02-2025
SKU083,1,36,26-02-2025
SKU044,3,25,02-03-2025
SKU095,6,93,19-03-2025
SKU011,8,95,31-01-2025
SKU077,3,80,13-03-2025
SKU070,4,66,08-02-2025
SKU082,6,91,29-01-2025
SKU028,6,69,15-02-2025
SKU089,6,23,06-03-2025
SKU048,10,51,12-01-2025
SKU030,0,42,23-03-2025
SKU079,8,66,15-01-2025
SKU073,3,35,28-02-2025
SKU084,3,41,01-01-2025
SKU040,4,29,24-01-2025
SKU071,4,22,05-02-2025
SKU082,2,84,16-01-2025
SKU087,7,56,24-02-2025
SKU073,3,46,24-03-2025
SKU077,5,90,09-02-2025
SKU041,2,63,14-03-2025
SKU077,5,46,01-01-2025
SKU054,5,89,13-01-2025
SKU002,9,94,15-03-2025
SKU067,9,83,11-03-2025
SKU053,6,37,10-01-2025
SKU064,4,89,22-03-2025
SKU031,4,86,08-03-2025
SKU047,7,72,16-02-2025
SKU053,2,70,07-02-2025
SKU094,4,72,11-03-2025
SKU059,7,71,06-01-2025
SKU098,2,80,06-02-2025
SKU048,3,68,15-03-2025
SKU090,5,77,27-03-2025
SKU014,8,34,16-02-2025
SKU004,4,28,02-02-2025
SKU084,7,59,20-03-2025
SKU085,5,77,26-03-2025
SKU013,4,50,19-02-2025
SKU010,4,44,16-01-2025
SKU052,6,84,07-02-2025
SKU092,5,35,26-03-2025
SKU050,4,85,27-01-2025
SKU038,4,38,19-03-2025
SKU094,2,28,11-01-2025
SKU042,2,85,29-01-2025
SKU053,2,95,11-02-2025
SKU004,2,22,26-02-2025
SKU086,3,69,13-01-2025
SKU014,7,80,21-03-2025
SKU057,4,49,23-03-2025
SKU092,4,73,09-01-2025
SKU056,9,85,19-01-2025
SKU040,3,37,08-03-2025
SKU010,2,97,28-03-2025
SKU020,6,33,07-01-2025
SKU015,3,81,19-02-2025
SKU018,5,88,20-03-2025
SKU003,6,30,14-01-2025
SKU004,3,54,22-03-2025
SKU020,7,51,02-01-2025
SKU010,4,86,01-03-2025
SKU080,3,59,05-03-2025
SKU096,6,34,24-02-2025
SKU001,9,67,14-03-2025
SKU021,3,51,29-01-2025
SKU047,2,90,16-01-2025
SKU059,9,46,12-02-2025
SKU092,4,91,22-01-2025
SKU071,5,72,17-03-2025
SKU020,6,70,09-01-2025
SKU007,2,97,16-02-2025
SKU076,4,22,06-02-2025
SKU076,8,65,25-02-2025
SKU004,5,29,10-02-2025
SKU071,4,58,08-01-2025
SKU025,4,66,10-03-2025
SKU023,1,25,25-02-2025
SKU063,7,68,31-03-2025
SKU057,8,28,14-03-2025
SKU029,2,59,11-02-2025
SKU092,6,43,05-03-2025
SKU029,2,73,02-02-2025
SKU033,3,63,09-03-2025
SKU089,4,24,25-02-2025
SKU055,9,96,06-02-2025
SKU001,2,91,07-02-2025
SKU048,5,67,28-03-2025
SKU058,6,84,16-02-2025
SKU005,2,51,28-02-2025
SKU071,5,52,16-03-2025
SKU078,7,69,02-03-2025
SKU074,2,48,07-02-2025
SKU078,2,35,27-02-2025
SKU003,6,56,19-01-2025
SKU015,3,40,10-03-2025
SKU013,5,69,15-02-2025
SKU071,5,62,09-03-2025
SKU061,1,63,14-01-2025
SKU027,5,84,30-01-2025
SKU032,5,76,23-03-2025
SKU026,6,95,20-01-2025
SKU032,2,31,04-02-2025
SKU068,5,38,13-03-2025
SKU017,8,97,18-01-2025
SKU026,4,35,11-01-2025
SKU012,7,83,07-03-2025
SKU096,4,45,15-03-2025
SKU064,6,63,24-02-2025
SKU099,4,54,01-02-2025
SKU080,4,76,08-01-2025
SKU087,8,70,01-01-2025
SKU083,5,48,19-03-2025
SKU022,2,74,02-02-2025
SKU094,3,64,02-03-2025
SKU045,5,73,14-03-2025
SKU079,5,66,20-01-2025
SKU071,6,67,31-03-2025
SKU071,7,26,16-01-2025
SKU072,4,65,17-03-2025
SKU070,3,88,13-01-2025
SKU041,2,82,16-03-2025
SKU065,5,57,26-01-2025
SKU056,3,89,07-01-2025
SKU095,3,89,05-01-2025
SKU071,2,75,23-01-2025
SKU066,4,40,07-01-2025
SKU049,2,96,06-01-2025
SKU034,13,91,21-02-2025
SKU056,5,98,11-01-2025
SKU045,4,51,14-02-2025
SKU018,3,26,06-03-2025
SKU049,5,69,15-03-2025
SKU099,7,58,22-02-2025
SKU051,7,64,29-01-2025
SKU021,5,61,23-02-2025
SKU047,7,25,31-03-2025
SKU074,6,94,25-02-2025
SKU095,0,99,07-03-2025
SKU054,7,85,04-01-2025
SKU069,7,60,29-01-2025
SKU042,8,56,11-03-2025
SKU059,8,40,27-03-2025
SKU057,4,25,05-01-2025
SKU051,5,51,19-01-2025
SKU083,4,79,16-02-2025
SKU087,5,96,28-03-2025
SKU091,2,87,05-03-2025
SKU074,4,24,18-02-2025
SKU071,8,85,27-01-2025
SKU074,2,53,27-03-2025
SKU015,1,66,18-03-2025
SKU087,9,72,18-03-2025
SKU052,8,43,10-01-2025
SKU017,2,53,05-01-2025
SKU004,1,74,31-01-2025
SKU038,6,91,26-02-2025
SKU028,5,50,06-02-2025
SKU038,11,26,04-03-2025
SKU014,4,65,30-03-2025
SKU072,6,24,02-03-2025
SKU017,4,53,14-02-2025
SKU089,7,38,14-03-2025
SKU069,3,56,26-02-2025
SKU100,5,21,24-03-2025
SKU014,4,67,02-03-2025
SKU050,3,62,05-02-2025
SKU074,6,50,16-03-2025
SKU087,8,45,28-02-2025
SKU072,5,42,26-01-2025
SKU089,5,38,15-03-2025
SKU022,8,38,12-02-2025
SKU005,4,53,24-02-2025
SKU020,3,91,18-02-2025
SKU051,6,56,20-02-2025
SKU009,5,95,04-02-2025
SKU096,4,79,27-03-2025
SKU096,6,98,03-03-2025
SKU068,7,36,19-03-2025
SKU037,7,27,22-01-2025
SKU001,2,33,24-01-2025
SKU002,4,88,21-03-2025
SKU021,3,51,26-03-2025
SKU051,8,66,20-03-2025
SKU087,7,86,02-02-2025
SKU098,6,93,03-01-2025
SKU084,6,55,07-02-2025
SKU044,8,36,16-01-2025
SKU020,5,42,23-03-2025
SKU070,7,39,18-01-2025
SKU005,4,83,25-03-2025
SKU062,9,31,30-01-2025
SKU075,6,56,19-01-2025
SKU019,4,90,09-02-2025
SKU040,3,50,12-03-2025
SKU014,5,40,30-01-2025
SKU059,4,26,24-02-2025
SKU091,7,27,05-01-2025
SKU004,5,97,26-01-2025
SKU019,4,82,19-03-2025
SKU019,3,88,12-01-2025
SKU005,3,81,14-01-2025
SKU048,2,23,13-01-2025
SKU037,7,59,15-01-2025
SKU063,4,36,30-01-2025
SKU098,3,75,28-03-2025
SKU028,2,60,21-03-2025
SKU074,6,50,11-01-2025
SKU089,2,37,13-01-2025
SKU057,5,51,26-03-2025
SKU003,5,65,06-01-2025
SKU098,3,64,10-03-2025
SKU040,6,35,17-03-2025
SKU029,6,48,30-01-2025
SKU028,5,20,29-03-2025
SKU035,3,90,01-02-2025
SKU059,8,86,05-01-2025
SKU014,4,22,25-03-2025
SKU041,8,77,08-02-2025
SKU067,3,69,15-02-2025
SKU076,5,74,12-02-2025
SKU014,3,43,17-03-2025
SKU041,6,44,01-02-2025
SKU064,4,59,16-01-2025
SKU023,6,33,20-01-2025
SKU075,3,91,08-01-2025
SKU019,4,24,22-01-2025
SKU022,5,24,07-02-2025
SKU034,3,69,26-03-2025
SKU062,7,44,10-01-2025
SKU004,7,36,06-02-2025
SKU061,6,75,03-01-2025
SKU066,1,31,23-03-2025
SKU025,3,77,02-03-2025
SKU022,9,27,31-01-2025
SKU100,4,80,09-02-2025
SKU086,3,48,24-01-2025
SKU073,7,69,05-01-2025
SKU058,9,85,26-02-2025
SKU025,3,54,14-03-2025
SKU004,3,66,04-01-2025
SKU010,2,77,07-01-2025
SKU099,6,70,23-01-2025
SKU071,5,54,10-01-2025
SKU063,6,92,31-01-2025
SKU027,3,46,09-02-2025
SKU059,8,22,23-02-2025
SKU071,5,68,01-03-2025
SKU078,7,60,26-03-2025
SKU010,6,38,01-02-2025
SKU032,6,21,29-01-2025
SKU089,7,56,04-02-2025
SKU055,4,51,06-03-2025
SKU050,5,46,11-01-2025
SKU037,5,62,16-01-2025
SKU059,7,22,18-02-2025
SKU086,9,83,09-02-2025
SKU080,8,82,04-02-2025
SKU047,1,61,11-02-2025
SKU049,5,99,22-01-2025
SKU082,4,84,15-02-2025
SKU013,4,58,29-01-2025
SKU030,4,32,04-02-2025
SKU035,2,56,29-01-2025
SKU011,7,65,19-02-2025
SKU006,1,73,26-03-2025
SKU014,4,73,18-01-2025
SKU019,8,50,21-01-2025
SKU043,6,87,05-01-2025
SKU047,4,26,04-03-2025
SKU063,7,24,06-03-2025
SKU084,11,79,27-01-2025
SKU042,6,60,02-03-2025
SKU055,3,96,04-02-2025
SKU069,3,56,18-02-2025
SKU078,8,99,30-03-2025
SKU021,4,25,16-02-2025
SKU070,5,75,19-01-2025
SKU033,5,62,23-02-2025
SKU066,4,74,12-03-2025
SKU024,11,84,22-02-2025
SKU097,3,51,20-02-2025
SKU089,6,83,10-02-2025
SKU019,5,63,02-03-2025
SKU085,3,24,24-02-2025
SKU021,1,23,28-02-2025
SKU021,1,68,09-01-2025
SKU013,4,98,27-02-2025
SKU068,9,48,20-02-2025
SKU064,5,30,11-01-2025
SKU093,3,31,19-03-2025
SKU033,3,80,19-01-2025
SKU042,9,70,26-01-2025
SKU026,5,34,29-03-2025
SKU027,4,66,05-02-2025
SKU093,5,70,13-03-2025
SKU081,8,71,17-03-2025
SKU084,5,88,31-03-2025
SKU084,9,40,10-02-2025
SKU084,6,52,25-02-2025
SKU006,5,58,27-03-2025
SKU087,10,77,09-01-2025
SKU022,5,92,02-03-2025
SKU074,0,23,28-02-2025
SKU007,5,99,15-02-2025
SKU091,2,46,02-01-2025
SKU079,7,49,13-02-2025
SKU041,11,62,19-01-2025
SKU041,5,71,30-03-2025
SKU063,6,92,23-01-2025
SKU052,2,96,28-02-2025
SKU080,4,45,11-02-2025
SKU009,4,33,13-02-2025
SKU045,3,49,15-03-2025
SKU097,8,79,19-01-2025
SKU072,4,86,06-01-2025
SKU060,3,55,29-03-2025
